0_x,0_y
0.220710,-6.044190
2.004804,-7.571683
5.318122,-5.025862
7.357087,-8.080847
9.396052,-5.280444
13.219112,-6.553355
15.003206,-5.280444
18.061654,-5.025862
20.610360,-4.516698
22.139584,-5.025862
25.452902,-4.516698
28.001608,-5.025862
30.550315,-5.789608
34.118503,-4.007533
35.137986,-5.789608
39.215916,-4.007533
41.000010,-3.243787
43.293846,-3.243787
46.607164,-3.243787
47.881517,-3.752951
51.959447,-2.480041
53.743542,-4.516698
56.037378,-3.498369
59.095825,-6.044190
61.899402,-1.970877
64.448108,-4.516698
66.487073,-2.989205
69.800392,-1.716295
71.329615,-2.734623
74.642934,-2.480041
76.681899,-3.243787
79.230605,-1.207130
81.779311,-2.989205
84.073147,-0.443384
87.131594,-1.461712
89.425430,0.065780
92.229007,0.320362
95.542325,1.084109
96.816678,1.084109
100.129996,2.102437
102.678703,2.866183
104.972538,3.375348
107.776115,1.847855
110.324822,3.375348
112.873528,3.375348
114.657622,7.194079
118.480682,4.139094
120.264776,10.249065
122.558612,6.430333
125.107318,14.067796
127.401154,7.703243
131.224213,18.141110
131.988825,15.086125
135.811885,26.287737
137.850850,22.723588
140.399556,32.143126
143.712874,35.198111
144.732357,42.071828
148.300545,52.509694
150.339511,55.564680
152.633346,68.548367
156.201535,72.112517
158.240500,85.605368
160.279465,89.933264
162.573301,103.171534
165.631748,110.045251
167.160972,121.501445
170.984032,129.138909
173.022997,137.540118
175.571703,145.686746
178.630150,155.615448
180.159374,162.998329
183.727563,171.654120
185.256787,179.037002
187.805493,187.947375
190.609070,196.348585
193.157776,201.440227
196.216224,211.878093
197.490577,216.460571
201.058766,227.916766
203.607472,233.008408
205.901308,243.191693
208.195143,247.774171
210.998720,257.957455
213.547427,264.067425
215.331521,269.922814
218.389969,278.833188
220.428934,283.161083
223.487381,293.598950
225.781217,296.144771
227.820182,307.091802
231.388371,310.910533
232.662724,320.839235
236.485783,325.167131
238.524748,333.313759
240.563713,339.169147
243.877032,343.751625
245.406255,352.661999
248.974444,356.226148
251.268280,365.136522
253.052374,369.973582
255.855951,378.629374
258.149787,383.721016
261.208234,391.613061
263.502070,396.450121
266.305647,403.069256
267.580000,409.179226
270.893318,413.507122
273.187154,420.890003
275.480990,425.217899
278.284567,433.619109
280.068661,437.437840
283.636850,445.329886
285.420944,450.421528
288.224521,458.058991
290.518357,462.132305
293.067063,468.242275
294.851158,474.606828
292.047581,470.788096
289.498874,465.696454
286.185556,455.258588
283.381979,451.439856
280.068661,441.511154
277.010213,437.437840
274.461507,428.272885
270.128706,422.417496
268.854353,413.761704
264.776423,406.124241
262.227717,400.523435
259.169269,389.830986
255.601081,386.521419
254.071857,376.592717
250.248797,371.246493
247.954962,362.336119
245.151385,356.226148
241.838067,348.843267
239.799102,341.969550
235.721171,333.059176
233.172465,324.148803
230.623759,317.529668
227.820182,309.637623
225.526346,302.763906
221.958157,293.598950
219.664322,287.743561
215.841262,278.833188
213.802297,272.723217
210.488979,263.303679
207.940273,256.429962
205.391567,247.774171
201.568507,236.827140
200.549025,231.480916
196.725965,220.024721
193.922388,215.442243
191.628553,203.476884
187.805493,197.876078
186.786011,187.692793
182.708080,179.800748
180.159374,170.890374
177.100927,160.961672
174.807091,152.560462
171.748643,141.868014
169.199937,134.485133
166.396360,123.283520
164.102525,114.118564
161.298948,106.481101
158.495371,92.224503
156.201535,86.369115
153.652829,70.585024
150.084640,67.784621
148.555416,52.509694
144.987227,48.945545
142.948262,40.289753
140.144685,36.471022
136.831367,32.906872
135.047273,25.523991
131.479084,20.941513
128.930378,17.631946
125.617059,15.340707
123.832965,13.049468
121.029388,8.212408
118.990423,7.703243
115.677105,4.648258
112.363787,7.957826
111.344304,2.357019
107.011503,4.648258
105.227409,2.357019
102.423832,2.102437
99.620255,1.593273
97.326420,1.593273
93.758231,0.829527
91.974136,-0.188802
88.915689,-1.716295
86.112112,-0.697966
83.818276,0.065780
81.269570,-0.188802
77.701381,-1.716295
75.662416,-2.480041
73.623451,-0.697966
70.310133,-2.480041
68.526038,0.065780
64.957850,-4.516698
62.664014,-2.225459
60.370178,-4.771280
56.547119,-2.734623
55.782507,-4.771280
52.214318,-4.007533
49.410741,-2.734623
47.116906,-4.007533
44.313329,-3.498369
41.254881,-4.771280
38.706175,-3.498369
36.922080,-5.025862
33.863633,-4.771280
31.314926,-6.553355
28.766220,-4.771280
26.217514,-5.789608
23.668808,-4.262116
20.100619,-5.025862
18.826266,-4.771280
14.748336,-5.789608
12.964241,-4.516698
10.415535,-6.044190
7.611958,-6.807937
5.827864,-6.044190
1.749933,-6.807937
0.220710,-5.025862
-2.327997,-7.317101
-4.876703,-5.280444
-8.444892,-6.044190
-9.974116,-4.771280
-13.287434,-6.807937
-15.326399,-5.789608
-18.384846,-6.807937
-21.188423,-7.826265
-23.737130,-6.298772
-26.285836,-8.590011
-28.579672,-5.789608
-31.892990,-8.080847
-34.186825,-6.044190
-36.735532,-8.590011
-39.793979,-5.789608
-42.087815,-7.317101
-44.891392,-7.317101
-47.185227,-7.317101
-50.753416,-9.608340
-51.772899,-7.571683
-55.850829,-9.608340
-57.380053,-6.807937
-60.183630,-11.390415
-63.496948,-6.807937
-65.790783,-9.862922
-68.849231,-7.571683
-70.378455,-8.844594
-74.201514,-10.372086
-75.985609,-8.335429
-79.298927,-11.899579
-81.083021,-7.826265
-84.651210,-13.936236
-86.690175,-7.317101
-89.238881,-15.209146
-92.297329,-8.844594
-94.081423,-14.445400
-98.159353,-9.862922
-99.433707,-12.154161
-102.747025,-15.463728
-105.040860,-12.408743
-107.334696,-15.718310
-110.393144,-10.117504
-112.941850,-21.828281
-115.235686,-14.190818
-118.039263,-23.355774
-121.607451,-13.681654
-122.626934,-23.355774
-126.959735,-18.518714
-128.234088,-26.665341
-131.547406,-27.174505
-134.096112,-27.938252
-136.389948,-35.066551
-139.448395,-34.557386
-141.997102,-43.213178
-144.290937,-40.412775
-147.349385,-50.341477
-149.643221,-53.396462
-151.937056,-65.107239
-155.505245,-74.272195
-157.034469,-82.673405
-160.602658,-96.930003
-162.641623,-101.512481
-164.935458,-117.041989
-168.503647,-121.369885
-170.542612,-134.608154
-172.836448,-139.190632
-175.385154,-149.373917
-178.953343,-157.011380
-180.737437,-166.940082
-184.305626,-176.359620
-186.089721,-183.997083
-189.403039,-193.925785
-191.442004,-199.781174
-193.990710,-210.982787
-196.794287,-216.838175
-198.833252,-225.748549
-201.636829,-232.876848
-204.695277,-241.278057
-206.734242,-248.151774
-209.537819,-256.552984
-212.341395,-265.972522
-213.870619,-270.809582
-217.948549,-280.483702
-219.732644,-285.575344
-222.281350,-294.994882
-224.575186,-300.086524
-227.888504,-308.487734
-229.417728,-314.343122
-232.985916,-321.471421
-235.279752,-329.108884
-237.828458,-335.982601
-240.632035,-343.874647
-242.925871,-349.475453
-246.494060,-357.367498
-248.533025,-362.459140
-251.591472,-370.860350
-253.120696,-375.442828
-256.434014,-383.334873
-258.218109,-388.935680
-262.041168,-396.063979
-263.315521,-402.937695
-267.138581,-409.302248
-268.667805,-416.685129
-271.726252,-421.522189
-274.274958,-429.159652
-277.078535,-434.505877
-279.627242,-440.870429
-282.175948,-447.489564
-284.469784,-452.326624
-287.273361,-459.454923
-289.822067,-464.546565
-292.370773,-473.711521
-295.429221,-477.530253
-297.723056,-486.440627
-300.016892,-489.495612
-303.585081,-498.151404
-305.369175,-502.479299
-308.427623,-510.371345
-310.721459,-515.208405
-313.270165,-521.318375
-316.838354,-527.428346
-314.034777,-530.228749
-311.995812,-524.882525
-308.427623,-515.462987
-305.624046,-510.880509
-301.800986,-501.460971
-300.016892,-495.605582
-295.938962,-487.204373
-294.154868,-480.585238
-290.331808,-471.929446
-287.783102,-466.074058
-284.979525,-458.182013
-281.921077,-452.072042
-278.098018,-446.471236
-276.059053,-438.070026
-273.000605,-431.960056
-270.706770,-423.558846
-267.138581,-416.685129
-264.080133,-409.556830
-261.531427,-402.173949
-258.727850,-395.300232
-255.414532,-387.408187
-253.120696,-381.552798
-250.062249,-372.642425
-247.258672,-368.314529
-244.455095,-358.131245
-242.161259,-353.039602
-238.847941,-342.856318
-236.044364,-337.000930
-232.731046,-329.363466
-230.437210,-322.235167
-227.378763,-313.833958
-224.320315,-306.196495
-222.281350,-299.831942
-218.968032,-291.939897
-216.674196,-284.811598
-213.615749,-275.392060
-210.812172,-268.518343
-208.263465,-259.098805
-205.205018,-251.461342
-202.656312,-242.550968
-200.107605,-233.640594
-196.539416,-226.257713
-194.500451,-217.347339
-191.696874,-210.473622
-189.657909,-199.526592
-186.599462,-194.434950
-183.541014,-182.215009
-180.737437,-176.614202
-179.208214,-163.375933
-175.385154,-156.247634
-173.346189,-145.555185
-169.523130,-138.172304
-167.993906,-127.225273
-164.680588,-117.805735
-162.131881,-111.441183
-159.073434,-97.184585
-156.779598,-92.602107
-153.721151,-78.090927
-150.917574,-77.836345
-148.623738,-56.196865
-145.820161,-52.632716
-143.016584,-40.158193
-140.722749,-41.431103
-137.664301,-29.211162
-135.880207,-32.011565
-132.312018,-29.211162
-130.018182,-24.883266
-127.214605,-29.211162
-124.665899,-18.773296
-122.117193,-23.610356
-119.568486,-16.227475
-116.510039,-22.082863
-114.216203,-12.663325
-111.667497,-16.736639
-108.609049,-13.427071
-106.315214,-15.463728
-103.511637,-15.972893
-101.217801,-13.427071
-98.669095,-14.190818
-95.610647,-12.154161
-93.826553,-12.408743
-91.022976,-10.372086
-88.474269,-10.881250
-85.670693,-8.844594
-82.867116,-9.862922
-80.063539,-12.408743
-78.279444,-8.335429
-74.456385,-12.154161
-73.182032,-7.826265
-69.358972,-10.881250
-67.829748,-7.062519
-65.026172,-9.862922
-62.477465,-6.807937
-58.909276,-8.590011
-57.380053,-8.080847
-53.556993,-7.571683
-51.772899,-10.626668
-48.714451,-7.062519
-46.930357,-10.372086
-43.617039,-5.789608
-41.068332,-8.844594
-38.519626,-5.280444
-35.970920,-7.826265
-32.657602,-6.044190
-30.873507,-7.317101
-28.324801,-6.807937
-26.285836,-6.553355
-22.462776,-8.590011
-21.188423,-5.789608
-17.110493,-8.590011
-16.091011,-5.789608
-12.267951,-6.553355
-9.974116,-5.789608
