0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y
122.303741,152.560462,121.539129,182.091987,120.009906,217.733482,121.539129,100.625713,121.794000,9.994482
124.087836,157.906687,124.852448,188.201957,123.578094,223.588870,123.832965,109.026922,124.852448,4.648258
127.146283,160.961672,127.146283,188.201957,125.362189,228.171348,126.891413,111.572743,127.401154,13.813214
129.440119,164.271239,130.204731,195.584839,127.910895,233.772155,129.440119,119.210206,129.185248,10.758229
131.988825,167.835389,132.243696,198.385242,131.479084,238.100050,131.988825,124.301849,132.753437,19.668602
134.282661,169.617464,134.792402,203.222302,133.518049,243.700857,135.047273,131.684730,134.027790,23.741916
137.850850,172.672449,137.850850,207.804780,136.576497,246.755842,136.831367,137.540118,137.850850,28.069812
139.634944,173.436195,138.870332,214.678497,138.360591,252.611231,140.399556,143.395507,139.889815,33.416036
141.928780,176.236598,142.693392,222.061378,141.673909,253.884141,141.928780,150.523806,141.928780,39.016843
144.732357,176.745763,144.987227,226.643856,143.203133,257.448291,144.987227,154.597119,144.987227,45.635977
147.790804,179.800748,147.281063,234.281319,146.771322,259.739530,147.026192,158.925015,147.535934,51.745948
149.320028,178.273255,149.574899,239.627543,149.320028,263.303679,149.320028,161.725418,149.829769,58.365083
152.123605,184.128644,151.868734,243.700857,151.358993,263.812843,153.143087,165.289568,152.123605,64.729635
155.182052,183.874062,155.691794,247.265006,153.397958,266.104082,155.436923,167.580807,154.927182,71.857934
157.221018,188.965704,156.711276,252.102066,156.711276,266.358664,158.240500,171.399538,156.711276,82.804965
160.534336,195.075674,160.534336,255.411634,159.259983,267.631575,160.024594,173.436195,159.514853,90.442428
162.063559,198.130660,161.808689,256.175380,161.298948,268.649903,162.318430,177.509509,162.318430,100.116548
165.631748,203.731466,164.867136,259.994112,164.612266,272.214053,165.122007,180.564494,165.376878,106.226519
167.415843,207.804780,167.415843,259.994112,166.396360,270.941142,167.415843,183.110315,166.651231,116.918967
170.219420,215.951407,170.474290,264.322007,169.454808,276.541949,170.984032,187.947375,170.474290,124.047266
172.513255,220.024721,172.768126,263.812843,172.003514,277.051113,172.258385,189.984032,172.003514,133.721387
175.061962,227.407602,174.297350,266.867829,174.552220,281.124427,175.316832,197.112331,175.571703,141.358850
178.120409,232.753826,178.375280,267.631575,176.591185,284.688576,178.120409,197.621495,177.610668,150.523806
179.649633,239.627543,179.649633,269.922814,179.649633,289.525636,180.669115,204.749794,180.414245,159.434179
183.217822,243.700857,183.472692,272.977799,182.453210,296.399353,182.708080,208.823108,182.198339,167.071643
185.256787,247.010424,185.256787,274.250710,183.727563,300.218085,185.511657,216.205989,185.256787,178.018673
188.824976,251.847484,187.805493,278.069441,188.060364,307.091802,188.570105,222.315960,187.805493,183.364897
190.354199,254.902470,190.609070,279.342352,189.079846,311.928862,189.844458,230.208005,189.589587,193.293600
193.157776,258.212037,193.412647,286.725233,192.393164,319.311743,193.667518,238.609215,192.902906,201.185645
195.451612,259.739530,195.961353,284.688576,194.177259,324.403385,195.961353,244.464603,194.941871,208.568526
198.255189,263.812843,197.490577,292.580621,196.980836,330.004191,198.510060,251.847484,198.510060,216.205989
200.549025,265.085754,201.313636,293.344368,199.529542,335.095833,200.803895,255.920798,199.784413,224.352617
202.842860,268.140739,203.352601,300.472667,202.078248,338.405401,203.352601,261.267022,203.607472,232.244662
206.665920,271.959471,205.646437,303.018488,204.626955,342.733297,206.156178,263.049097,205.136696,238.100050
208.195143,274.250710,208.450014,308.619294,206.411049,345.533700,208.195143,267.631575,207.940273,247.774171
211.253591,279.596934,211.253591,313.710936,210.488979,347.315774,211.253591,268.904485,210.743850,253.374977
212.782815,280.106098,213.802297,320.075489,212.018203,349.097849,213.037685,273.486963,213.037685,263.049097
216.351004,285.961487,215.586392,325.421713,215.841262,351.643670,215.841262,278.324023,215.331521,267.631575
218.899710,287.488979,219.409451,330.767937,217.880227,352.916581,219.154581,283.924830,217.625357,276.032784
221.448416,296.399353,221.448416,336.368744,219.664322,355.971566,220.938675,289.780218,220.938675,283.161083
223.742252,296.908517,224.251993,340.696640,222.467899,356.735312,223.997122,295.126442,222.467899,290.034800
226.545829,305.309727,226.036088,345.024535,225.271476,360.808626,226.036088,302.000159,226.545829,297.163099
228.584794,307.855548,228.329923,347.061192,228.075053,362.336119,229.349406,306.328055,228.075053,303.273070
231.133500,316.765922,231.133500,351.389088,230.114018,363.863611,231.388371,312.947190,230.368888,312.183444
234.701689,322.621310,233.682206,353.425745,232.662724,368.955254,233.937077,319.311743,233.427336,316.765922
235.721171,327.967534,236.740654,356.735312,234.956560,367.936925,236.485783,325.167131,235.976042,325.930877
239.289360,335.350415,238.524748,358.008223,237.760136,373.028567,238.524748,330.767937,238.524748,331.022520
241.583196,338.150819,242.602678,360.299462,240.308843,371.755657,242.092937,337.387072,240.308843,338.914565
244.131902,345.024535,243.877032,362.845283,243.112420,380.411448,243.367290,343.497043,244.131902,344.006207
246.680609,347.570357,246.680609,364.881940,245.661126,379.902284,246.680609,348.588685,245.661126,351.134506
248.974444,354.444073,249.229315,367.936925,247.954962,387.539747,248.974444,353.934909,248.719574,357.753641
251.778021,356.735312,251.013409,370.482746,250.503668,389.830986,251.778021,358.517387,250.758539,363.609029
254.326727,360.044880,254.581598,375.828970,253.052374,397.468450,254.836469,363.354447,253.307245,370.228164
257.385175,363.354447,256.110822,377.611045,256.110822,404.087584,256.110822,366.154850,255.855951,376.592717
258.914399,365.900268,259.169269,384.230180,257.640046,409.179226,259.679011,372.519403,258.659528,382.957269
261.717976,373.792314,261.972846,387.539747,261.463105,417.071272,261.463105,377.356463,261.208234,388.812658
264.776423,373.283149,264.521553,394.668046,262.737458,421.399168,264.776423,384.739344,263.502070,395.940957
266.815388,383.721016,267.070259,401.032599,266.050776,428.018302,267.834871,389.830986,266.560518,402.050927
269.364095,384.739344,268.854353,407.142570,268.599483,431.582452,269.364095,396.704703,267.580000,408.415480
272.167671,394.668046,272.422542,415.289197,270.893318,437.692422,271.912801,403.323838,271.403060,414.525451
274.716378,400.014271,274.971248,421.908332,273.442025,440.238244,274.461507,409.433809,273.442025,419.871675
